label,r,a,s,defined,selected,visible,locked,description
A-1,24.807,-59.890,5.000,1,1,1,1,
A-2,59.890,-24.807,5.000,1,1,1,1,
A-3,59.890,24.807,5.000,1,1,1,1,
A-4,24.807,59.890,5.000,1,1,1,1,
A-5,-24.807,59.890,5.000,1,1,1,1,
A-6,-59.890,24.807,5.000,1,1,1,1,
A-7,-59.890,-24.807,5.000,1,1,1,1,
A-8,-24.807,-59.890,5.000,1,1,1,1,
B-1,24.807,-59.890,51.500,1,1,1,1,
B-2,59.890,-24.807,51.500,1,1,1,1,
B-3,59.890,24.807,51.500,1,1,1,1,
B-4,24.807,59.890,51.500,1,1,1,1,
B-5,-24.807,59.890,51.500,1,1,1,1,
B-6,-59.890,24.807,51.500,1,1,1,1,
B-7,-59.890,-24.807,51.500,1,1,1,1,
B-8,-24.807,-59.890,51.500,1,1,1,1,
C-1,24.807,-59.890,98.000,1,1,1,1,
C-2,59.890,-24.807,98.000,1,1,1,1,
C-3,59.890,24.807,98.000,1,1,1,1,
C-4,24.807,59.890,98.000,1,1,1,1,
C-5,-24.807,59.890,98.000,1,1,1,1,
C-6,-59.890,24.807,98.000,1,1,1,1,
C-7,-59.890,-24.807,98.000,1,1,1,1,
C-8,-24.807,-59.890,98.000,1,1,1,1,